"TIPO DE EMERGENCIA","Hora"
1,5
0,10
1,15
0,16
0,22
0,22
0,23
0,0
0,12
1,15
0,16
0,17
0,18
1,8
0,9
0,0
1,2
0,4
1,10
1,14
1,16
1,18
1,21
0,6
0,8
1,8
1,12
0,16
0,20
0,21
0,0
0,2
0,6
1,7
1,11
0,16
0,16
1,19
1,21
1,1
1,13
0,15
0,16
0,16
1,14
0,20
0,22
0,2
1,8
0,9
0,10
0,10
0,11
0,13
0,14
0,15
1,21
0,21
0,8
1,9
0,9
1,14
0,12
0,12
0,21
0,0
0,17
0,19
0,21
1,20
1,11
0,12
1,9
0,9
1,11
0,18
0,18
0,18
0,19
0,19
1,12
1,14
0,18
1,21
1,7
1,8
0,9
0,11
0,12
1,12
1,15
1,17
0,21
0,0
0,5
1,15
1,19
0,19
0,21
0,22
1,22
1,2
0,5
1,8
0,14
1,17
1,18
1,18
1,23
0,0
0,0
0,4
1,9
1,16
1,21
1,21
0,10
1,10
1,10
0,20
0,21
1,22
1,2
1,15
0,17
0,18
1,21
0,23
1,1
0,9
1,11
1,11
1,14
1,18
1,19
1,2
0,5
0,11
0,17
0,17
0,20
0,21
0,1
0,14
1,3
1,10
0,11
1,21
1,21
0,22
1,23
1,23
0,15
0,16
0,7
1,13
0,14
1,14
1,18
1,18
0,0
1,8
0,19
0,20
0,22
0,9
1,13
0,14
0,15
0,18
0,20
0,21
0,1
0,2
0,13
0,18
0,4
0,6
0,21
1,23
0,12
0,19
0,20
0,20
1,21
0,7
1,13
0,15
0,17
0,18
0,21
1,17
1,0
1,0
1,3
0,6
0,9
1,11
0,19
1,23
1,0
0,0
0,4
1,8
0,11
0,14
0,14
0,15
0,16
0,16
1,17
0,17
0,18
1,18
0,19
1,0
0,0
0,0
0,4
1,5
1,14
0,18
0,18
0,19
0,21
1,22
1,17
1,19
0,19
0,21
1,15
0,16
0,21
0,22
1,7
1,7
0,11
0,14
0,22
0,1
0,2
0,12
0,18
0,20
1,11
0,23
0,7
0,15
0,19
1,20
0,22
1,13
0,13
1,16
0,23
1,4
1,4
1,10
0,23
0,0
0,7
0,10
1,11
0,21
0,22
1,22
0,0
1,7
1,9
0,10
0,10
1,10
0,10
0,12
0,17
0,22
1,7
0,20
0,20
0,22
0,0
1,1
0,1
0,9
1,14
1,15
0,8
0,13
0,21
0,21
0,0
1,2
0,9
1,22
1,22
0,17
0,19
0,19
0,19
1,0
0,17
0,18
1,21
1,6
1,6
1,12
0,18
1,8
1,8
0,15
0,16
0,16
0,16
0,19
0,22
0,9
1,10
1,11
0,12
0,13
0,14
0,15
1,16
1,16
1,16
0,19
0,20
1,22
1,23
0,9
0,10
0,17
0,18
1,22
0,22
0,9
0,18
0,22
1,0
1,3
0,3
1,3
0,12
0,16
0,17
0,18
0,20
0,1
0,2
1,9
0,12
0,13
0,17
0,18
0,18
0,15
1,17
1,17
0,22
0,22
0,7
0,8
0,10
0,11
1,12
0,15
1,17
1,18
0,20
1,9
0,10
0,14
0,14
1,16
1,16
0,17
1,18
1,18
0,20
0,23
1,23
1,23
1,8
1,11
0,21
1,22
0,23
0,23
0,3
1,6
0,13
0,16
1,19
0,19
1,20
0,22
1,1
1,3
0,5
0,12
1,14
0,16
0,7
0,9
0,10
0,14
0,15
0,16
0,17
0,22
0,22
0,10
0,10
0,16
1,17
1,22
0,22
0,1
0,7
1,9
0,10
0,10
0,10
0,16
1,17
0,1
1,7
1,8
1,11
1,15
0,18
1,13
1,13
0,14
1,18
1,2
1,7
0,16
0,16
0,17
0,18
0,19
0,21
1,10
0,16
0,16
0,16
1,16
0,19
0,19
0,23
0,9
1,6
1,9
1,9
0,12
1,14
0,17
0,17
0,18
0,18
0,9
0,12
1,14
1,16
1,18
0,12
0,15
1,16
0,17
0,19
0,20
1,20
0,21
0,22
0,23
0,1
0,1
1,4
0,7
0,11
0,13
0,17
0,17
0,18
0,18
1,3
0,14
0,20
0,22
0,0
0,1
0,3
0,8
1,11
1,12
0,13
0,14
1,0
0,1
1,4
0,8
1,9
0,6
0,9
0,15
1,16
1,17
0,18
0,18
0,19
0,21
1,21
1,22
0,10
1,19
0,19
0,23
0,1
0,2
0,3
1,16
1,17
1,18
0,2
1,5
0,6
0,12
0,13
0,13
0,13
0,15
1,17
1,8
1,22
0,23
0,1
1,8
0,10
0,14
0,17
1,19
1,9
0,14
1,19
1,21
0,23
0,11
0,14
1,20
1,22
0,0
0,0
1,3
1,9
1,10
0,13
1,14
0,17
0,21
0,23
1,5
1,10
1,13
1,19
0,22
0,22
0,0
0,14
0,18
0,18
0,21
1,21
1,22
1,23
0,16
0,18
0,20
0,22
0,23
0,0
1,5
1,8
0,9
1,10
1,11
0,16
0,16
0,19
0,19
1,0
0,14
0,22
0,3
0,9
0,14
0,17
0,18
0,21
1,10
0,10
0,11
0,14
0,19
0,11
1,11
0,14
1,14
0,15
0,19
0,21
1,22
0,23
0,4
0,7
1,9
0,12
0,14
0,14
0,15
1,16
0,17
1,18
1,20
1,20
0,21
1,21
0,23
0,23
0,0
0,1
1,10
0,13
1,17
0,20
1,1
0,11
1,21
0,23
0,0
0,9
1,10
0,11
0,12
0,15
1,17
1,22
0,2
0,7
0,8
1,11
0,17
0,19
1,20
1,3
1,16
1,20
1,20
0,1
0,5
0,7
1,7
1,9
0,13
0,17
0,22
1,23
1,0
1,0
1,0
0,10
0,15
1,15
0,16
0,10
0,12
0,14
0,15
1,17
0,18
1,19
0,19
1,20
0,8
0,11
1,14
0,17
0,17
0,18
0,17
1,17
0,18
1,20
1,20
1,21
0,5
0,5
0,17
0,17
0,21
0,13
0,15
1,15
1,17
0,19
0,20
1,22
1,23
0,2
0,7
0,8
0,17
1,20
0,7
1,10
1,12
1,14
0,18
1,14
0,18
0,21
0,22
0,0
0,13
0,17
1,19
1,2
1,2
1,2
1,8
0,12
1,19
0,21
0,22
0,3
0,6
0,6
0,7
0,8
0,9
0,9
0,10
0,21
1,21
0,23
0,2
0,3
0,5
0,8
0,14
0,22
0,22
0,7
0,9
1,15
1,18
0,19
0,20
0,21
0,22
0,22
1,8
0,10
1,12
1,13
0,11
0,12
1,13
0,5
0,13
1,16
0,23
1,15
0,18
0,21
0,13
0,13
0,14
0,14
0,18
1,19
1,4
1,5
0,11
1,13
1,17
0,17
0,17
0,18
0,19
0,20
1,21
1,22
0,1
1,2
1,6
1,11
1,14
0,15
1,16
0,18
0,9
0,15
0,18
0,9
0,9
0,13
1,13
0,16
1,17
0,18
0,21
0,21
0,1
0,9
1,20
0,0
1,6
1,8
1,8
0,9
0,10
0,18
0,19
1,19
0,1
1,14
1,18
1,20
1,2
0,11
1,15
1,2
0,2
0,20
0,0
0,1
0,11
0,17
1,21
0,8
0,9
1,11
0,13
0,13
0,15
0,15
0,16
0,17
0,20
0,22
0,23
0,10
1,17
0,23
1,14
1,15
0,17
1,20
0,22
0,22
1,13
1,17
0,17
0,17
1,19
0,19
0,6
0,12
0,12
0,21
0,22
0,0
0,17
1,18
0,19
0,22
0,7
0,10
0,13
0,14
0,14
0,18
0,7
1,8
0,18
0,22
1,11
1,11
1,13
1,16
0,17
0,18
0,19
0,3
0,12
0,16
1,4
1,16
